5.113	-1.759
-6.339	-4.917
-0.6645	-4.43
3.063	-7.931
0.5525	11.54
-4.95	2.056
-2.488	1.106
-6.664	9.181
9.985	4.98
1.942	4.169
5.857	11.21
-5.677	8.471
-9.862	0.5428
6.826	-0.8909
4.444	2.75
9.931	9.862
1.933	11.3
0.6704	7.562
-8.041	11.12
5.996	6.274
-10.85	-5.813
-7.333	3.407
4.537	9.003
-6.499	5.475
11.92	4.637
-6.699	10.83
-1.858	1.649
-2.709	-0.4447
-3.231	-8.733
-10.69	-2.698
10.16	-7.073
10.44	8.375
-6.328	5.419
4.248	-5.908
6.005	-10.29
-8.515	-3.787
-4.251	5.488
-3.061	-8.24
10.08	5.143
-1.478	4.529
-3.976	-6.75
-1.299	10.17
10.82	-3.806
8.055	0.7491
7.808	-8.081
-9.347	7.12
2.599	10.7
6.083	0.9624
-5.935	-0.7131
6.446	-4.876
-7.049	2.613
2.477	5.128
-0.09822	-3.647
-6.637	-6.636
-2.013	3.562
5.148	-6.939
2.384	11.41
0.7487	-8.912
-3.135	-1.544
-4.25	6.516
8.599	-0.8287
11.99	-11
4.396	-10.03
5.804	4.75
6.124	-4.801
6.027	2.054
10.07	-3.38
7.187	10.68
-11.57	-2.461
-3.767	6.174
3.823	11.59
-5.361	-9.296
-10.57	9.001
6.985	-2.705
-9.869	11.57
-1.806	7.961
5.623	11.18
9.056	-6.467
-9.164	-11.58
-2.251	-9.057
-10.48	8.52
1.815	6.65
7.629	-6.528
11.47	-9.673
7.588	11.27
10.12	4.464
11.29	1.35
0.407	6.893
-3.517	-4.098
4.103	-8.104
-2.993	1.853
3.804	-5.675
7.062	-6.298
-2.923	-3.666
-7.506	-0.4826
6.07	11.1
4.881	-2.167
-4.075	-9.145
9.866	-11.78
8.943	-1.664
-8.09	11.7
7.547	-5.871
8.29	9.083
10.46	0.7588
-3.289	6.182
6.655	4.277
10.98	7.221
7.943	-8.479
-10.79	-9.251
8.169	-5.805
-4.962	-6.77
4.108	-10.01
-10.61	8.652
7.503	-9.599
9.475	10.84
4.133	-5.563
8.48	8.137
4.875	-6.087
-4.021	-5.413
11.33	-4.487
6.813	-1.311
11.54	2.513
10.75	1.028
-8.285	-8.808
8.151	-7.76
-8.569	-8.808
-7.553	-0.6013
-3.85	7.387
9.45	-5.343
7.59	2.948
10.74	-1.112
-6.232	-5.609
1.913	-3.122
-7.468	-9.587
-3.569	1.616
2.55	3.613
3.47	8.335
2.766	-6.122
9.097	-11.37
6.021	3.502
7.29	8.369
-5.934	-2.452
-6.707	10.34
-9.079	-5.666
-2.775	-5.226
-8.539	4.3
2.044	-0.4554
6.727	7.476
-7.003	10.45
3.676	-10.95
-0.5478	-7.327
9.864	-5.869
2.205	-2.026
-1.175	-0.2973
6.329	4.329
11.78	-3.401
-9.293	-6.966
2.447	-3.25
-5.566	10.36
-2.549	2.516
3.597	-2.793
1.805	10.52
2.733	11.4
7.368	11.14
2.369	-5.809
3.474	-3.034
5.594	0.5826
-8.465	-5.164
-6.353	-4.988
-7.656	1.525
-8.452	-7.711
-6.615	7.611
9.794	-6.108
7.611	-6.3
